CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,x_3310,y_3310,n_pur_5km,lbs_ai_5km
840,14,172,MORAGA,1,37.8183531,-122.1464708,92,32,1,1,-188682.24106480397,-19876.430220079143,0,0.0
840,14,173,LOCKWOOD,1,35.9222607,-121.0644229,92,32,1,1,-95938.45537240134,-232214.84892316302,169,1169.9830341200002
840,14,174,OFFIELD MTN,1,41.3813232,-123.4877394,66,5,1,1,-291983.3146185478,379187.420639758,0,0.0
840,14,175,MT SHASTA,1,41.4000979,-122.0499734,85,5,1,1,-171598.06630159426,377754.371910939,0,0.0
840,14,176,CLEAR LK RES,1,41.8190067,-121.0692617,85,9,1,1,-88986.25451797528,422863.8857842209,0,0.0
840,14,177,CEDARVILLE,1,41.5295757,-120.1718519,89,9,1,1,-14360.363537947123,390275.6611250704,46,104.91555078
840,14,178,ALDERPOINT,1,40.1732694,-123.6037721,93,5,1,1,-306789.0968411436,245536.70570155885,0,0.0
840,14,179,YOLLA BOLLY,1,40.0279597,-122.6387259,92,32,1,1,-225108.99288466634,226697.26257066987,0,0.0
840,14,180,BUTTE MEADOW,1,40.1173377,-121.5755009,66,15,1,1,-134251.74592173877,234608.1699014306,0,0.0
840,14,181,GENESEE,1,40.2017613,-120.623502,66,15,1,1,-53070.31061335254,243044.47930136323,0,0.0
840,14,182,LAYTONVILLE,1,39.6878368,-123.484892,93,5,1,1,-298655.25185334985,191267.13056745566,9,3.9737019
840,14,183,BARTLETT SPS,1,39.1844218,-122.7090796,92,32,1,1,-233787.0805214441,133176.62046995247,0,0.0
840,14,184,HIGGINS CORN,1,39.0686937,-121.0099559,92,15,1,1,-87303.99862900273,117439.29001327418,2,0.603925
840,14,185,DOWNIEVILLE,1,39.5602197,-120.8280109,66,15,1,1,-71099.45413390179,171908.19254237926,0,0.0
840,14,186,MARK WEST,1,38.5498734,-122.719303,92,32,1,1,-236691.74905905733,62701.324511696585,108,145.09341339000002
840,14,187,ZAMORA,1,38.7939347,-121.8400349,91,32,1,1,-159644.5094764757,87984.75963265868,3920,34459.24715971
840,14,188,RIVERTON,1,38.7694117,-120.4473869,66,15,1,1,-38831.192090121054,83801.35093037272,0,0.0
840,14,189,COYOTE,1,37.2521703,-121.6774341,92,32,1,1,-148570.70981009922,-83637.48376538279,0,0.0
840,14,190,COPPEROPOLIS,1,37.9834939,-120.6452578,92,32,1,1,-56599.86732985998,-3461.6151011218317,0,0.0
840,14,191,ONEALS,1,37.1201217,-119.7013699,92,32,1,1,26497.30456396845,-99588.47520214645,0,0.0
840,14,192,DEEP SPRINGS,1,37.4158007,-118.0043109,88,9,1,1,176371.94016916823,-64906.017760012764,0,0.0
840,14,193,BODEGA BAY,1,38.3407717,-123.0480649,93,5,1,1,-266045.453047497,40339.69051547814,0,0.0
840,14,194,WATERMAN GAP,1,37.2115267,-122.1565019,93,32,1,1,-191098.10165155606,-87296.33682869002,0,0.0
840,14,195,GREENFIELD,1,36.257393,-121.4234494,92,32,1,1,-127737.00676593013,-194556.78625225322,16,12.4670162
840,14,196,ORA LOMA,1,36.8794687,-120.7850119,91,32,1,1,-69874.52871718198,-126090.43218119023,2432,41573.229919289995
840,14,197,TIPTON,1,36.0799797,-119.3040849,91,32,1,1,62596.274890832225,-214999.80743849603,4839,49148.25652194999
840,14,198,YREKA,1,41.7401687,-122.6334149,85,5,1,1,-219377.70628326284,416666.6397719886,11,96.3560028
840,14,199,BARTLE,1,41.2528113,-121.8238479,85,9,1,1,-152986.50495764203,361028.9164569462,0,0.0
840,14,200,KORBEL,1,40.9701495,-123.8400894,93,5,1,1,-323313.23598825466,334736.5132021485,0,0.0
840,14,201,HAT CREEK,1,40.8188497,-121.5700369,66,15,1,1,-132496.21091757916,312490.2102597961,0,0.0
840,14,204,ATHLONE,1,37.1416897,-120.4009629,91,32,1,1,-35567.058053184686,-97157.55095025292,7626,49050.87430875999
840,14,205,LAKESHORE,1,37.2556212,-119.1614638,66,15,1,1,74268.8508835959,-84239.7968018977,0,0.0
840,14,207,Lake Hemet 2,1,33.6681143,-116.670672,95,32,1,1,308808.290794153,-477550.9117155704,0,0.0
