year,month,date,loc,speciesCode,species,count
2020,5,2020-05-22,Kern NWR--South Auto Tour,treswa,Tree Swallow,5
2020,5,2020-05-22,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,60
2020,5,2020-05-26,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,300
2020,5,2020-05-27,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,250
2021,5,2021-05-02,Kern NWR--South Auto Tour,treswa,Tree Swallow,2
2021,5,2021-05-02,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,40
2021,5,2021-05-06,Kern NWR--South Auto Tour,treswa,Tree Swallow,1
2021,5,2021-05-06,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,33
2021,5,2021-05-10,Kern NWR--South Auto Tour,treswa,Tree Swallow,1
2021,5,2021-05-10,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,300
2021,5,2021-05-15,Kern NWR--South Auto Tour,treswa,Tree Swallow,1
2021,5,2021-05-15,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,4
2021,5,2021-05-15,Kern NWR--South Auto Tour,nrwswa,Northern Rough-winged Swallow,3
2021,5,2021-05-30,Kern NWR--South Auto Tour,treswa,Tree Swallow,3
2021,5,2021-05-30,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,80
2022,5,2022-05-25,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,60
2022,5,2022-05-29,Kern NWR--South Auto Tour,barswa,Barn Swallow,10
2023,5,2023-05-10,Kern NWR--South Auto Tour,treswa,Tree Swallow,8
2023,5,2023-05-10,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,125
2023,5,2023-05-17,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,200
2023,5,2023-05-18,Kern NWR--South Auto Tour,banswa,Bank Swallow,1
2023,5,2023-05-18,Kern NWR--South Auto Tour,treswa,Tree Swallow,1
2023,5,2023-05-18,Kern NWR--South Auto Tour,nrwswa,Northern Rough-winged Swallow,1
2023,5,2023-05-18,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,150
2023,5,2023-05-22,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,1
2024,5,2024-05-05,Kern NWR--South Auto Tour,treswa,Tree Swallow,5
2024,5,2024-05-05,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,40
2024,5,2024-05-07,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,1
2024,5,2024-05-12,Kern NWR--South Auto Tour,treswa,Tree Swallow,1
2024,5,2024-05-12,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,180
2024,5,2024-05-16,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,1
2024,5,2024-05-18,Kern NWR--South Auto Tour,treswa,Tree Swallow,4
2024,5,2024-05-18,Kern NWR--South Auto Tour,barswa,Barn Swallow,1
2024,5,2024-05-18,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,205
2024,5,2024-05-24,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,50
2024,5,2024-05-27,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,410
2025,5,2025-05-02,Kern NWR--South Auto Tour,treswa,Tree Swallow,14
2025,5,2025-05-02,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,80
2025,5,2025-05-03,Kern NWR--South Auto Tour,banswa,Bank Swallow,1
2025,5,2025-05-03,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,25
2025,5,2025-05-03,Kern NWR--South Auto Tour,treswa,Tree Swallow,16
2025,5,2025-05-04,Kern NWR--South Auto Tour,treswa,Tree Swallow,15
2025,5,2025-05-04,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,125
2025,5,2025-05-07,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,10
2025,5,2025-05-08,Kern NWR--South Auto Tour,nrwswa,Northern Rough-winged Swallow,4
2025,5,2025-05-08,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,155
2025,5,2025-05-13,Kern NWR--South Auto Tour,treswa,Tree Swallow,2
2025,5,2025-05-13,Kern NWR--South Auto Tour,nrwswa,Northern Rough-winged Swallow,5
2025,5,2025-05-13,Kern NWR--South Auto Tour,barswa,Barn Swallow,20
2025,5,2025-05-13,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,100
2025,5,2025-05-14,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,38
2025,5,2025-05-16,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,1
2025,5,2025-05-26,Kern NWR--South Auto Tour,barswa,Barn Swallow,2
2025,5,2025-05-26,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,50
2025,5,2025-05-31,Kern NWR--South Auto Tour,cliswa,Cliff Swallow,125
