"species_code","common_name","abd_ppy","abd_ppy_lower","abd_ppy_upper","COUNTYFP","NAME","pre_lbs","post_lbs","pyr_delta","pyr_pct_change"
"treswa","Tree Swallow",-2.40013381365649,-3.68643910313644,-0.942121646236292,"099","Stanislaus",37276.3724203613,58401.425535015,21125.0531146537,56.6714294954161
"treswa","Tree Swallow",-1.72482954264572,-3.36643837334834,-0.0069578670834712,"099","Stanislaus",37276.3724203613,58401.425535015,21125.0531146537,56.6714294954161
"treswa","Tree Swallow",-1.51183493707754,-5.67963852776297,1.37674323996975,"039","Madera",39564.0858945838,34763.5345316233,-4800.55136296042,-12.1336086868055
"treswa","Tree Swallow",-0.930640393298627,-1.98413411541596,1.5345914930303,"085","Santa Clara",19892.1976778343,23263.3744339317,3371.17675609741,16.9472313250431
"treswa","Tree Swallow",0.531653277633963,-1.59929908901629,3.91920566738405,"085","Santa Clara",19892.1976778343,23263.3744339317,3371.17675609741,16.9472313250431
"treswa","Tree Swallow",-0.931174370327666,-2.41539663100789,-0.0365989834391659,"099","Stanislaus",37276.3724203613,58401.425535015,21125.0531146537,56.6714294954161
"treswa","Tree Swallow",-0.448889221023768,-1.44779884502174,0.624772195748597,"099","Stanislaus",37276.3724203613,58401.425535015,21125.0531146537,56.6714294954161
"treswa","Tree Swallow",-2.14227009159238,-3.60824300138365,0.211585006878719,"047","Merced",23606.1950159562,24287.3476291183,681.152613162085,2.88548244518725
"treswa","Tree Swallow",-1.58543462973363,-3.00704833767759,-0.638130204443373,"047","Merced",23606.1950159562,24287.3476291183,681.152613162085,2.88548244518725
"treswa","Tree Swallow",0.121817988761427,-1.01806469669766,2.36572661789086,"039","Madera",39564.0858945838,34763.5345316233,-4800.55136296042,-12.1336086868055
"treswa","Tree Swallow",2.17960882949593,0.844035583008495,4.7924108857176,"039","Madera",39564.0858945838,34763.5345316233,-4800.55136296042,-12.1336086868055
"treswa","Tree Swallow",0.858080903917275,-0.877192532884262,1.67425019050385,"087","Santa Cruz",3112.116775988,2301.77151022833,-810.345265759667,-26.0383952174291
"treswa","Tree Swallow",0.59882974005101,-0.198013301910784,1.295133265863,"085","Santa Clara",19892.1976778343,23263.3744339317,3371.17675609741,16.9472313250431
"treswa","Tree Swallow",-1.07139046781945,-2.85598509096129,1.84166596857419,"085","Santa Clara",19892.1976778343,23263.3744339317,3371.17675609741,16.9472313250431
"treswa","Tree Swallow",-0.84772163491374,-2.17097754917966,0.13556143974527,"085","Santa Clara",19892.1976778343,23263.3744339317,3371.17675609741,16.9472313250431
"treswa","Tree Swallow",-0.346667942325267,-1.69295881421303,0.828635267456194,"047","Merced",23606.1950159562,24287.3476291183,681.152613162085,2.88548244518725
"treswa","Tree Swallow",-0.58337351164945,-3.04763474787237,2.22209324763977,"047","Merced",23606.1950159562,24287.3476291183,681.152613162085,2.88548244518725
"treswa","Tree Swallow",0.851510986516899,-1.40822254166738,3.14377446701717,"039","Madera",39564.0858945838,34763.5345316233,-4800.55136296042,-12.1336086868055
"treswa","Tree Swallow",-1.70325964329016,-2.8117397917492,-0.0317888295518323,"039","Madera",39564.0858945838,34763.5345316233,-4800.55136296042,-12.1336086868055
"treswa","Tree Swallow",0.807250875821843,-0.619833108329128,1.69141338271112,"039","Madera",39564.0858945838,34763.5345316233,-4800.55136296042,-12.1336086868055
"treswa","Tree Swallow",1.78995576506819,-0.277692070974878,3.66327197751857,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",-0.620276862284091,-1.34471562584337,0.219253819250461,"053","Monterey",45840.9037836362,42337.8553829317,-3503.04840070458,-7.64175247774032
"treswa","Tree Swallow",-0.339626943449152,-1.53267484510338,0.764944897358827,"069","San Benito",3579.11739903375,2796.1208155,-782.99658353375,-21.8768063809568
"treswa","Tree Swallow",-0.0195913793611366,-2.26834034487485,1.49619130181366,"047","Merced",23606.1950159562,24287.3476291183,681.152613162085,2.88548244518725
"treswa","Tree Swallow",1.4118942453232,-0.0115754121482934,2.84508199409698,"047","Merced",23606.1950159562,24287.3476291183,681.152613162085,2.88548244518725
"treswa","Tree Swallow",-1.30618483388244,-3.51878355906915,0.84180244068658,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",-1.03712008348311,-3.91284245799729,2.18689858337228,"039","Madera",39564.0858945838,34763.5345316233,-4800.55136296042,-12.1336086868055
"treswa","Tree Swallow",-2.39924474016326,-3.50636700316935,-1.38296664728406,"039","Madera",39564.0858945838,34763.5345316233,-4800.55136296042,-12.1336086868055
"treswa","Tree Swallow",-1.27364009317981,-2.35745479919393,0.313825012417084,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",0.647558952759138,-1.30815965816875,1.69821304327931,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",2.4876862082505,0.271733416049112,4.02832018615839,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",-1.00877142311686,-1.70747699847242,-0.159745864925131,"053","Monterey",45840.9037836362,42337.8553829317,-3503.04840070458,-7.64175247774032
"treswa","Tree Swallow",0.958348628499117,-0.495973413388686,1.66475059951829,"053","Monterey",45840.9037836362,42337.8553829317,-3503.04840070458,-7.64175247774032
"treswa","Tree Swallow",0.157295771173201,-2.13665433325783,1.7772973195711,"069","San Benito",3579.11739903375,2796.1208155,-782.99658353375,-21.8768063809568
"treswa","Tree Swallow",-0.279458248186655,-1.66278731456856,1.06601396492459,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",0.323195407283224,-0.926969512465611,1.35225418424695,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",-1.97145073101994,-4.39591270962107,0.0417910314267932,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",-3.10935054730164,-4.38056736327694,-1.05466971153587,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",-2.16148330929735,-3.57810334368891,-0.91004018722617,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",-0.861007032216445,-2.41095378160309,0.405390350973055,"107","Tulare",45608.8348387387,49051.71667439,3442.88183565126,7.54871692693842
"treswa","Tree Swallow",1.49569673823531,-0.864510339832545,4.75508825789836,"107","Tulare",45608.8348387387,49051.71667439,3442.88183565126,7.54871692693842
"treswa","Tree Swallow",1.44236663451898,-0.226456802396945,2.70213651117241,"053","Monterey",45840.9037836362,42337.8553829317,-3503.04840070458,-7.64175247774032
"treswa","Tree Swallow",1.66405002856203,0.487526119538975,3.51205392087387,"053","Monterey",45840.9037836362,42337.8553829317,-3503.04840070458,-7.64175247774032
"treswa","Tree Swallow",-0.648342589600494,-1.85023076297925,0.685236761543737,"053","Monterey",45840.9037836362,42337.8553829317,-3503.04840070458,-7.64175247774032
"treswa","Tree Swallow",-0.105649245814984,-2.32921294325905,1.3224448032833,"069","San Benito",3579.11739903375,2796.1208155,-782.99658353375,-21.8768063809568
"treswa","Tree Swallow",-0.0714190167716523,-2.46995084006812,1.64546228925601,"069","San Benito",3579.11739903375,2796.1208155,-782.99658353375,-21.8768063809568
"treswa","Tree Swallow",-0.177275623503393,-1.43562811113555,0.818772523025906,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
"treswa","Tree Swallow",-1.12279256661431,-2.95869416356823,1.39600938624937,"019","Fresno",99213.3422313488,113741.823802775,14528.4815714259,14.6436771957021
