year,county,class,lbs
2020,15,chlorpyrifos,895.1589498999999
2020,15,oxamyl,7847.418834
2020,15,pyrethroid,75212.447613675
2020,16,chlorpyrifos,7.158324499999999
2020,16,oxamyl,26459.232407999996
2020,16,pyrethroid,31861.092287084997
2020,17,chlorpyrifos,0.029551
2020,17,pyrethroid,1211.86785615
2020,18,pyrethroid,2293.2614782200003
2020,19,chlorpyrifos,657.84501806
2020,19,oxamyl,451.00752
2020,19,pyrethroid,26294.068137312002
2020,20,chlorpyrifos,322.48475949999994
2020,20,pyrethroid,33521.18379996
2020,21,chlorpyrifos,0.2412
2020,21,pyrethroid,423.823258785
2020,22,pyrethroid,88.07242245
2020,23,chlorpyrifos,1.119344
2020,23,pyrethroid,232.44083124
2020,24,chlorpyrifos,7137.410170900001
2020,24,oxamyl,81.599496
2020,24,pyrethroid,41645.36365538
2020,25,oxamyl,666.8577720000001
2020,25,pyrethroid,444.04152435000003
2020,26,pyrethroid,168.62473961999996
2020,27,oxamyl,3897.2782320000006
2020,27,pyrethroid,45551.38652033
2020,28,chlorpyrifos,0.8137615
2020,28,pyrethroid,389.99147119500003
2020,29,chlorpyrifos,0.000469
2020,29,pyrethroid,854.1044190499999
2020,30,chlorpyrifos,63.7725436
2020,30,oxamyl,19.912032
2020,30,pyrethroid,10836.742605268999
2020,31,chlorpyrifos,3.6449638
2020,31,pyrethroid,4571.869355765
2020,32,pyrethroid,150.5519139
2020,33,chlorpyrifos,127.96413767999998
2020,33,oxamyl,603.35448
2020,33,pyrethroid,26549.151438009998
2020,34,chlorpyrifos,65.59393979999999
2020,34,pyrethroid,20839.236326205
2020,35,oxamyl,537.294888
2020,35,pyrethroid,3596.1417950100004
2020,36,chlorpyrifos,174.303762
2020,36,pyrethroid,6460.365043039999
2020,37,chlorpyrifos,94.24922979999998
2020,37,oxamyl,917.3273520000001
2020,37,pyrethroid,18575.56807711
2020,38,pyrethroid,192.52086377
2020,39,chlorpyrifos,588.5991612
2020,39,oxamyl,1948.462362
2020,39,pyrethroid,30700.0066715
2020,40,chlorpyrifos,0.05
2020,40,oxamyl,286.431984
2020,40,pyrethroid,6473.059304369999
2020,41,chlorpyrifos,1.4801009999999999
2020,41,pyrethroid,1392.50391141
2020,42,chlorpyrifos,0.011588999999999999
2020,42,oxamyl,1470.4566
2020,42,pyrethroid,15089.061957565002
2020,43,chlorpyrifos,9.137870499999998
2020,43,oxamyl,573.645792
2020,43,pyrethroid,6134.243029068
2020,44,chlorpyrifos,3.875
2020,44,pyrethroid,2686.845260645
2020,45,chlorpyrifos,1.20658738
2020,45,pyrethroid,2028.134156565
2020,46,pyrethroid,35.56180514999999
2020,47,chlorpyrifos,0.01483775
2020,47,oxamyl,788.8064520000001
2020,47,pyrethroid,605.095057375
2020,48,chlorpyrifos,0.111284
2020,48,pyrethroid,6830.577297514999
2020,49,chlorpyrifos,3.1724125
2020,49,pyrethroid,992.554419285
2020,50,chlorpyrifos,1710.6608553
2020,50,oxamyl,120.46780799999999
2020,50,pyrethroid,31033.205421963
2020,51,chlorpyrifos,273.0870084
2020,51,pyrethroid,11878.50750085
2020,52,pyrethroid,5501.572266024999
2020,53,pyrethroid,5.7377311
2020,54,chlorpyrifos,105.5478096
2020,54,pyrethroid,47405.664771640004
2020,55,pyrethroid,920.5737003099999
2020,56,chlorpyrifos,170.0551881
2020,56,oxamyl,4077.9441359999996
2020,56,pyrethroid,10714.807431180001
2020,57,chlorpyrifos,0.2908
2020,57,pyrethroid,12734.924599614998
2020,58,pyrethroid,4878.26692353
